setting,target,control,predictor_set,cv_spearman_mean,cv_spearman_sd,oof_spearman,n_pred,n_defined_folds,controls
gemma_2_2b,kl_mean,effect_only,full_no_magnitude,0.1410169491525424,0.1537024668075506,0.14481983133145923,15,5,effect_l2
gemma_2_2b,kl_mean,effect_only,full_all,0.1601333703806613,0.11354738853233762,0.16269114101267793,19,5,effect_l2
gemma_2_2b,kl_per_effect,none,frequency_only,0.14714564423725243,0.13664457287651885,0.02543295825220116,1,5,
gemma_2_2b,kl_per_effect,none,actmag_only,0.216371214226174,0.15770624008775536,0.09963755152835031,1,5,
gemma_2_2b,kl_per_effect,none,geometry_only,0.14143928869130312,0.1288162702373254,0.12347159412882364,5,5,
gemma_2_2b,kl_per_effect,none,direct_logit_only,0.33475965545985004,0.02416953593183513,0.307501638907099,4,5,
gemma_2_2b,kl_per_effect,none,coactivation_only,0.09158099472075579,0.08768706690680773,0.011607240080445336,2,5,
gemma_2_2b,kl_per_effect,none,full_no_magnitude,0.312164490136149,0.12779662648049608,0.2757443971599684,15,5,
gemma_2_2b,kl_per_effect,none,full_all,0.28461239233120317,0.12216104611307348,0.24669918554650602,19,5,
gemma_2_2b,kl_per_effect,primary,frequency_only,,,,1,0,"effect_l2,act_mag,frequency"
gemma_2_2b,kl_per_effect,primary,actmag_only,,,,1,0,"effect_l2,act_mag,frequency"
gemma_2_2b,kl_per_effect,primary,geometry_only,-0.0040011114198388485,0.11843006312175212,0.0067067411860131775,5,5,"effect_l2,act_mag,frequency"
gemma_2_2b,kl_per_effect,primary,direct_logit_only,0.22916365657126986,0.0912115142800506,0.21099212213469037,4,5,"effect_l2,act_mag,frequency"
gemma_2_2b,kl_per_effect,primary,coactivation_only,0.10997499305362604,0.07706623150121243,0.08480983122034688,2,5,"effect_l2,act_mag,frequency"
gemma_2_2b,kl_per_effect,primary,full_no_magnitude,0.2103695470964157,0.1277374727160575,0.19193413260147335,15,5,"effect_l2,act_mag,frequency"
gemma_2_2b,kl_per_effect,primary,full_all,0.17820505696026676,0.09773380423075576,0.1617804642273803,19,5,"effect_l2,act_mag,frequency"
gemma_2_2b,kl_per_effect,robust,frequency_only,,,,1,0,"frequency,act_mag"
gemma_2_2b,kl_per_effect,robust,actmag_only,,,,1,0,"frequency,act_mag"
gemma_2_2b,kl_per_effect,robust,geometry_only,0.031297582661850516,0.12207267745685438,0.050043667151857235,5,5,"frequency,act_mag"
gemma_2_2b,kl_per_effect,robust,direct_logit_only,0.29381494859683255,0.054554758013133864,0.2783639818220202,4,5,"frequency,act_mag"
gemma_2_2b,kl_per_effect,robust,coactivation_only,0.12962489580439013,0.09570460432839101,0.09381837575973066,2,5,"frequency,act_mag"
gemma_2_2b,kl_per_effect,robust,full_no_magnitude,0.25662684078910813,0.11189010230659034,0.23223546928299202,15,5,"frequency,act_mag"
gemma_2_2b,kl_per_effect,robust,full_all,0.22447346485134764,0.09504813206742284,0.20615873509705662,19,5,"frequency,act_mag"
gemma_2_2b,kl_per_effect,effect_only,frequency_only,0.16641861304889588,0.14079093764449604,0.07514191194903487,1,5,effect_l2
gemma_2_2b,kl_per_effect,effect_only,actmag_only,0.1847402056126702,0.17679460425513605,0.10434115934621495,1,5,effect_l2
gemma_2_2b,kl_per_effect,effect_only,geometry_only,0.03137538205056961,0.15119227300722424,0.03384482049800553,5,5,effect_l2
gemma_2_2b,kl_per_effect,effect_only,direct_logit_only,0.20621283689913872,0.08430789746313219,0.19757686196513294,4,5,effect_l2
gemma_2_2b,kl_per_effect,effect_only,coactivation_only,0.13754931925534872,0.10145137087233465,0.10574161935132612,2,5,effect_l2
gemma_2_2b,kl_per_effect,effect_only,full_no_magnitude,0.19422061683801056,0.1537582608185125,0.1880634229269214,15,5,effect_l2
gemma_2_2b,kl_per_effect,effect_only,full_all,0.16361211447624344,0.12990493307681925,0.16703918932432582,19,5,effect_l2
gemma_2_2b,collateral_raw_nodense,none,frequency_only,0.37015924942989564,0.09720354062695813,0.3572292789124716,1,5,
gemma_2_2b,collateral_raw_nodense,none,actmag_only,0.4966816035546051,0.09528459551470901,0.4724498486238557,1,5,
gemma_2_2b,collateral_raw_nodense,none,geometry_only,0.5533876532754615,0.11058833645818326,0.5422125797035732,5,5,
gemma_2_2b,collateral_raw_nodense,none,direct_logit_only,0.3343860276771715,0.0761226118950474,0.3164366420310843,4,5,
gemma_2_2b,collateral_raw_nodense,none,coactivation_only,0.23508143787131516,0.09918558883413066,0.22579749434661414,2,5,
gemma_2_2b,collateral_raw_nodense,none,full_no_magnitude,0.7386347760482953,0.036388322094016365,0.7401784076505789,15,5,
gemma_2_2b,collateral_raw_nodense,none,full_all,0.7523519710074118,0.052099907291537004,0.7511800896358916,19,5,
gemma_2_2b,collateral_raw_nodense,primary,frequency_only,,,,1,0,"effect_l2,act_mag,frequency"
gemma_2_2b,collateral_raw_nodense,primary,actmag_only,,,,1,0,"effect_l2,act_mag,frequency"
gemma_2_2b,collateral_raw_nodense,primary,geometry_only,0.38965268130036124,0.18199722109746777,0.4099538883765375,5,5,"effect_l2,act_mag,frequency"
