feature,crowding,crowd_max,dec_norm,enc_norm,enc_dec_cos,frequency,act_mag,act_mean_firing,act_std,act_max,act_kurtosis,bin_entropy,act_entropy,coact_entropy,coact_count,logit_l2,logit_linf,logit_entropy,logit_top10_mass,collateral_raw,effect_l2,collateral_ctilde,collateral_raw_nodense,collateral_ctilde_nodense,resid_delta_norm,resid_reconstruction_norm_ratio,resid_error_delta_norm,resid_change_explained_energy,stab_signed,stab_abs,stab_anti_frac,effect_pc1_ratio,kl_mean,kl_per_effect,effect_cv,ctx_mean_act,intervention_value,n_ctx,matched_feature
10,0.07495185732841492,0.08819717168807983,1.0,,,,,,,,,,,,,65.59088897705078,0.6980987787246704,12.167608261108398,0.00024043358280323446,3.4166667461395264,5.0639238357543945,0.6747073712421777,2.4166667461395264,0.47723204766708044,0.7263004183769226,2.280648946762085,1.9801877737045288,-14.329255104064941,0.3067668676376343,0.3079836368560791,0.02083333395421505,0.5474581122398376,3.823153292614734e-06,7.549784335362931e-07,0.5928317904472351,,1.0,48,563
11,0.07511121034622192,0.09020727127790451,1.0,,,,,,,,,,,,,92.53645324707031,0.8641940951347351,12.19876480102539,0.00019333358795847744,2.7916667461395264,4.767244338989258,0.5855933830476742,1.9791667461395264,0.41515949283345327,0.7217229604721069,1.8108856678009033,1.6181468963623047,-10.482903480529785,0.32681334018707275,0.3495795726776123,0.0833333358168602,0.3723967671394348,7.234191343741259e-06,1.5174786132527564e-06,0.3802664577960968,,1.0,48,670
12,0.07388459891080856,0.10093200951814651,1.0,,,,,,,,,,,,,62.31239700317383,0.7012349963188171,12.166496276855469,0.0002460718678776175,2.625,5.82968282699585,0.4502817860590018,1.6458333730697632,0.2823195393452817,0.7049868106842041,1.8527568578720093,1.6506035327911377,-11.246115684509277,0.2897105813026428,0.3613828122615814,0.2083333432674408,0.6212224364280701,4.23882738687098e-06,7.271111491642197e-07,0.5625361204147339,,1.0,48,680
13,0.07496833801269531,0.0912267342209816,1.0,,,,,,,,,,,,,61.64834976196289,0.8931299448013306,12.162471771240234,0.0003002572921104729,3.3333334922790527,5.261351585388184,0.6335507961872141,2.4166667461395264,0.4593243204384679,0.7423598170280457,2.156959056854248,1.9980194568634033,-13.035888671875,0.33920711278915405,0.3842366635799408,0.125,0.5730275511741638,4.614957560988842e-06,8.771429693149692e-07,0.7619197368621826,,1.0,48,700
14,0.07129763811826706,0.0825725868344307,0.9999999403953552,,,,,,,,,,,,,59.61494445800781,0.6396850347518921,12.164104461669922,0.00023816447355784476,2.8333334922790527,5.142546653747559,0.5509592187568602,1.8125,0.35245183340332903,0.7022811770439148,2.5169522762298584,2.058565855026245,-16.559219360351562,0.3918996751308441,0.4626009166240692,0.1041666716337204,0.51914381980896,5.492572199727874e-06,1.068064630010618e-06,0.43477797508239746,,1.0,48,728
15,0.07300982624292374,0.08038802444934845,1.0,,,,,,,,,,,,,74.76153564453125,0.823017954826355,12.179595947265625,0.00021992585971020162,2.6041667461395264,5.084254741668701,0.5122022544768855,1.9375,0.38107846570121096,0.7063869833946228,1.5672954320907593,1.4091455936431885,-8.569754600524902,0.33426016569137573,0.33426016569137573,0.0,0.40467455983161926,7.326365448534489e-06,1.4409910215710387e-06,0.4663638770580292,,1.0,48,801
16,0.07312548160552979,0.08615762740373611,1.0,,,,,,,,,,,,,57.472068786621094,0.8240742087364197,12.161331176757812,0.00028181675588712096,3.4583334922790527,4.690271377563477,0.7373418735318861,2.0416667461395264,0.4352982114325245,0.7175228595733643,1.5974305868148804,1.4979395866394043,-9.190717697143555,0.3754429221153259,0.4314398765563965,0.1666666716337204,0.38221752643585205,5.016909653932089e-06,1.0696416559678642e-06,0.414027601480484,,1.0,48,804
17,0.07140699774026871,0.08631062507629395,1.0,,,,,,,,,,,,,57.65603256225586,0.7078130841255188,12.162130355834961,0.00026346344384364784,2.625,4.036555290222168,0.6503069584741036,1.875,0.4645049703386454,0.691149890422821,3.138702869415283,2.495055675506592,-23.64689826965332,0.34223473072052,0.345806360244751,0.02083333395421505,0.24277912080287933,6.079686045268318e-06,1.5061570059336726e-06,0.31077319383621216,,1.0,48,824
18,0.06821178644895554,0.07390356808900833,1.0,,,,,,,,,,,,,58.24262619018555,0.8228829503059387,12.163270950317383,0.0002953454968519509,2.9583334922790527,5.959874629974365,0.4963751204491404,1.9583333730697632,0.32858633635256906,0.7034453749656677,2.212697744369507,1.9313982725143433,-14.622735977172852,0.32348892092704773,0.4018186330795288,0.2083333432674408,0.81905597448349,8.71191150508821e-06,1.4617608643402074e-06,1.3160701990127563,,1.0,48,864
19,0.07166581600904465,0.08576975017786026,1.0,,,,,,,,,,,,,63.62133026123047,0.7563985586166382,12.165251731872559,0.0002449208695907146,3.3125,5.287436008453369,0.6264851221724932,2.1666667461395264,0.4097764471433357,0.7136934995651245,1.7266229391098022,1.543365240097046,-9.243304252624512,0.48396775126457214,0.521979570388794,0.0833333358168602,0.38760271668434143,4.8495371629542205e-06,9.171812474002781e-07,0.3568072021007538,,1.0,48,957
20,0.07276685535907745,0.086773581802845,0.9999999403953552,,,,,,,,,,,,,67.09708404541016,0.7760273218154907,12.173334121704102,0.00024005264276638627,3.3125,5.5251874923706055,0.5995271651104614,2.2083334922790527,0.39968480550778734,0.7245351076126099,2.4529953002929688,2.1364567279815674,-18.709766387939453,0.22413381934165955,0.2923285961151123,0.2291666716337204,0.7127025723457336,5.857935320818797e-06,1.060223805672735e-06,0.9935294985771179,,1.0,48,1020
21,0.06808387488126755,0.07876278460025787,0.9999999403953552,,,,,,,,,,,,,67.09729766845703,0.7322761416435242,12.17208480834961,0.00022504526714328676,2.5833334922790527,5.533306121826172,0.46686979370622106,1.7916667461395264,0.32379678684942337,0.7018989324569702,2.4097633361816406,2.0052239894866943,-16.388689041137695,0.4047324061393738,0.45499187707901,0.125,0.6671395301818848,5.341866199159995e-06,9.654022517270348e-07,0.8939970135688782,,1.0,48,1106
22,0.07410147041082382,0.08797281235456467,1.0,,,,,,,,,,,,,60.10400390625,0.6258714199066162,12.167932510375977,0.00023547957243863493,2.5416667461395264,4.844520092010498,0.5246477860799305,1.7708333730697632,0.36553329035312687,0.7172064781188965,2.256711721420288,2.0023303031921387,-15.536687850952148,0.33140525221824646,0.348985493183136,0.0416666679084301,0.44166749715805054,5.703672286472283e-06,1.1773451583171743e-06,0.4731208384037018,,1.0,48,1117
23,0.0702013149857521,0.08264317363500595,1.0,,,,,,,,,,,,,64.52814483642578,0.74857497215271,12.16788101196289,0.00025577691849321127,3.6041667461395264,4.264172554016113,0.8452206593499172,2.1041667461395264,0.49345253142329804,0.6981391906738281,1.9946401119232178,1.7325799465179443,-12.524202346801758,0.3178969621658325,0.3178969621658325,0.0,0.22746171057224274,4.418267508299323e-06,1.036137126715641e-06,0.2982587218284607,,1.0,48,1180
24,0.07185181230306625,0.08777011185884476,1.0,,,,,,,,,,,,,56.04596710205078,0.766602098941803,12.16248893737793,0.0002739120682235807,3.625,7.013564109802246,0.5168556155015533,2.3333334922790527,0.3326886947095941,0.7230397462844849,2.1248960494995117,1.8817949295043945,-12.607552528381348,0.4322843551635742,0.5381702780723572,0.1458333432674408,0.9190421104431152,6.125453182903584e-06,8.733723793311947e-07,1.8361480236053467,,1.0,48,1203
25,0.07001858949661255,0.07811884582042694,1.0,,,,,,,,,,,,,57.694820404052734,0.8055970668792725,12.164438247680664,0.00028048595413565636,3.1041667461395264,4.547684192657471,0.6825818609668598,2.0,0.4397842750011723,0.6955541372299194,2.2012569904327393,1.822192907333374,-14.617773056030273,0.3341009020805359,0.3341009020805359,0.0,0.20239004492759705,4.404303581395652e-06,9.684717287145768e-07,0.29765018820762634,,1.0,48,1263
26,0.06955613940954208,0.07981154322624207,1.0,,,,,,,,,,,,,58.861175537109375,0.64920973777771,12.163020133972168,0.0002444431302137673,3.4583334922790527,5.4207048416137695,0.6379859422247441,2.5625,0.4727245017291675,0.7116273641586304,2.3169827461242676,1.9748389720916748,-14.145048141479492,0.3964529037475586,0.452208936214447,0.1041666716337204,0.642022430896759,5.389019406720763e-06,9.94154737112541e-07,0.7876585721969604,,1.0,48,1278
27,0.06903108209371567,0.0790758728981018,0.9999999403953552,,,,,,,,,,,,,63.210044860839844,0.7044690251350403,12.166326522827148,0.000253377016633749,2.8333334922790527,4.426353454589844,0.6401055665674444,1.7708333730697632,0.4000659656387954,0.6952573657035828,2.257704734802246,1.9065022468566895,-14.537504196166992,0.3562307357788086,0.3562307357788086,0.0,0.2060013711452484,5.203095497563481e-06,1.1754812486592984e-06,0.3144388198852539,,1.0,48,1283
28,0.06940548121929169,0.08066701889038086,1.0,,,,,,,,,,,,,61.306495666503906,0.620918869972229,12.16772174835205,0.00023172193323262036,2.5833334922790527,4.998827934265137,0.5167878392859591,1.875,0.37508792479066577,0.6970095634460449,2.92791748046875,2.3418350219726562,-20.5216121673584,0.3314740061759949,0.3315393328666687,0.02083333395421505,0.5777547359466553,7.652341082575731e-06,1.5308270594419668e-06,0.6539328694343567,,1.0,48,1347
29,0.07448036968708038,0.08886934816837311,1.0,,,,,,,,,,,,,63.15399169921875,0.9030972719192505,12.164285659790039,0.0002974825329147279,2.7291667461395264,4.848827362060547,0.5628508785165816,1.7708333730697632,0.365208582857268,0.6942538619041443,1.8242318630218506,1.6058520078659058,-11.718213081359863,0.3229260742664337,0.3921075761318207,0.2083333432674408,0.44975417852401733,4.66372148366645e-06,9.618246074379351e-07,0.4641394317150116,,1.0,48,1356
30,0.07337570935487747,0.09257984161376953,1.0,,,,,,,,,,,,,65.59793090820312,0.6846635937690735,12.16969108581543,0.0002397403441136703,4.1041669845581055,4.84096097946167,0.8478000532316832,3.0208334922790527,0.6240152521069952,0.72282874584198,1.7405074834823608,1.593341588973999,-10.09415054321289,0.3044440746307373,0.3485410809516907,0.1875,0.3488641083240509,4.958166300639277e-06,1.0242111662194249e-06,0.3376670479774475,,1.0,48,1357
31,0.07421990483999252,0.08310925215482712,1.0,,,,,,,,,,,,,57.56015396118164,0.6093714237213135,12.163957595825195,0.00024318532086908817,4.583333492279053,5.456917762756348,0.8399125079658223,2.7291667461395264,0.5001297178720351,0.7346383333206177,1.7795203924179077,1.7126703262329102,-11.377641677856445,0.5163854360580444,0.5249521136283875,0.0625,0.36424368619918823,6.487533937615808e-06,1.188864155147217e-06,0.427507609128952,,1.0,48,1417
32,0.07341824471950531,0.08554541319608688,1.0,,,,,,,,,,,,,57.58489990234375,0.6955873966217041,12.16079044342041,0.0002590201038401574,2.7291667461395264,5.193344593048096,0.5255123537416936,1.875,0.36103901114120535,0.6856259107589722,1.6716012954711914,1.4967749118804932,-12.354755401611328,0.3121969699859619,0.3368470072746277,0.125,0.44183778762817383,8.937126040109433e-06,1.7208806122482271e-06,0.4698866903781891,,1.0,48,1469
