feature,crowding,crowd_max,dec_norm,enc_norm,enc_dec_cos,frequency,act_mag,act_mean_firing,act_std,act_max,act_kurtosis,bin_entropy,act_entropy,coact_entropy,coact_count,logit_l2,logit_linf,logit_entropy,logit_top10_mass,discovery_selectivity,predicted_collateral,predicted_residual_collateral
2795,0.17305528,0.26347455,1.0,0.97255653,0.8274913,0.0034179688,0.022352573,6.539724,0.41701713,12.659129,539.00745,0.02282177,0.24359556,6.090557,76.57143,57.00346,1.4314474,12.149691,0.0005263034,0.5767028,2.7703375591198065,-0.9495671824632052
4313,0.23371787,0.45799577,1.0,1.1265563,0.9109434,0.0068359375,0.035274994,5.160228,0.45115128,8.521376,214.03651,0.04089351,0.33832312,7.0084906,113.21429,87.167816,1.0812492,12.160185,0.00025638315,0.5575772,3.806731067508953,-1.5659502797771159
5669,0.13700777,0.27893618,1.0,0.9004437,0.91697264,0.033203125,0.17356181,5.2272735,1.0286674,13.777017,58.58207,0.14570603,0.5423073,7.756334,93.55882,55.814682,0.73223704,12.1592,0.00028751497,0.5539947,4.289227965593691,-1.1189244190642083
13517,0.23162222,0.8321787,1.0,0.9002679,0.8912239,0.030273438,0.13118759,4.333422,0.7746535,9.345787,44.050503,0.13569139,0.53635377,7.8557644,94.32258,71.60271,1.1322263,12.157402,0.00032466088,0.5505127,5.154130154592394,-0.6613468346831206
3796,0.16175736,0.20599735,1.0,0.8927085,0.8275912,0.014160156,0.07050894,4.97939,0.6325454,11.580106,130.48972,0.074343786,0.43315023,7.229888,88.06896,54.41941,0.8882103,12.159267,0.0002731483,0.5503604,4.9692036142734315,0.29384335452743704
3887,0.13127963,0.18853855,1.0,0.89573544,0.8806647,0.0048828125,0.020218758,4.1408014,0.29485074,5.7628593,235.91362,0.030857366,0.29925653,6.718522,104.7,57.93914,0.72451854,12.162458,0.00026033225,0.53885996,2.9202547774911247,-0.9354071331273416
12388,0.16773908,0.22927585,1.0000001,0.84583557,0.8882277,0.010253906,0.04130352,4.0280766,0.4175992,7.7963285,129.07434,0.057165034,0.39606282,7.2244678,98.85714,80.03211,0.8909062,12.183959,0.0002553713,0.5387075,4.219888834534146,-0.0120407232399011
10692,0.16477425,0.25504035,1.0,0.9155046,0.8514812,0.005859375,0.032602016,5.5640774,0.4570386,9.297041,269.26462,0.03595768,0.3160805,6.613921,83.25,67.45025,0.9011329,12.157263,0.0002863098,0.5326837,3.74160222215147,-0.5351817167981275
8375,0.17162597,0.9088949,1.0,0.9689119,0.9251461,0.053710938,0.2777017,5.170301,1.2441947,16.394089,32.255955,0.20930019,0.60925823,8.069377,88.13636,61.215237,0.962188,12.156603,0.00031418892,0.5173996,3.5341546632599465,-3.2207406958891576
9127,0.32359344,0.4286873,0.99999994,1.5085614,0.64394003,0.0024414062,0.02905344,11.90029,0.66007465,18.666382,647.0048,0.017123925,0.19190651,5.7953863,86.0,90.001015,1.0054489,12.156788,0.0002538681,0.50391024,6.720165150848441,0.6167019565287475
15140,0.1882169,0.6188408,1.0,0.83197427,0.9289093,0.014160156,0.057155363,4.036351,0.48497227,6.3938007,76.991936,0.074343786,0.43959898,7.4456005,97.034485,56.485867,0.6210264,12.167914,0.00023719043,0.49095705,3.567023745247968,-0.4541582115251472
9482,0.20552252,0.82505864,1.0,1.0582501,0.9215816,0.011230469,0.050759867,4.519835,0.50100136,9.001838,132.78053,0.061582144,0.405085,7.2704353,113.08696,85.9355,1.0492665,12.158754,0.00027055157,0.48963913,4.212002283767647,-0.9591254194519302
3361,0.16748135,0.62897265,1.0,0.8305121,0.90013194,0.0068359375,0.026593607,3.8902647,0.32360348,4.9767265,152.64531,0.04089351,0.3449306,6.820259,92.07143,64.21791,0.6982365,12.168707,0.00023723453,0.473365,3.2648967188817815,-0.4757319418206489
7052,0.17479216,0.24479342,0.9999999,1.0173935,0.8301219,0.0024414062,0.013959205,5.7176905,0.29044992,7.91724,496.55038,0.017123925,0.20721364,5.6545835,68.6,59.547604,0.79322577,12.158213,0.00030240475,0.46628976,2.903306092295439,-1.0339951159919754
709,0.14524578,0.19185568,1.0,0.9277127,0.82513,0.00390625,0.016321495,4.178303,0.26953512,6.8584614,343.87076,0.02555946,0.26871264,6.217181,81.75,57.942085,0.66211194,12.157698,0.00027118775,0.46196508,3.718437334790884,-0.12773812690979278
1721,0.22400618,0.33634472,1.0000001,1.0027289,0.7749897,0.008300781,0.053837933,6.4858875,0.6658873,14.237941,241.0336,0.048038643,0.35452121,7.019682,107.17647,71.28134,0.98166436,12.160571,0.00026498892,0.4524927,6.143864503375196,1.0464259234760052
16104,0.16530569,0.9666684,1.0,0.8504521,0.91585124,0.020996094,0.08472867,4.0354495,0.5893828,6.842189,51.561337,0.101890825,0.49109358,7.6324563,95.88372,57.855946,0.60118496,12.169796,0.000219587,0.44038942,3.949933320768971,-0.3327269374929764
5459,0.24328533,0.3380648,0.99999994,1.0462171,0.88024133,0.0146484375,0.08893469,6.0712748,0.7621502,11.19266,89.94073,0.07640715,0.44041684,7.3878126,118.73333,78.12937,0.9827929,12.151245,0.0002884594,0.41554794,5.8452934409605675,0.15119576460884018
14605,0.25386065,0.37306672,0.99999994,1.2766262,0.7829746,0.0034179688,0.024295397,7.108139,0.5039437,16.311798,755.3748,0.02282177,0.2277486,6.4556684,112.57143,100.12429,1.3050951,12.153452,0.00029787095,0.41530892,4.958663575281647,-0.9383691858148441
14912,0.29761156,0.5187136,0.99999994,1.3356895,0.8087696,0.010253906,0.07481119,7.295872,0.8632792,24.130135,356.2913,0.057165034,0.3806804,7.131342,99.52381,82.764565,1.158986,12.159248,0.00029949742,0.4151209,5.283291453959238,-0.5370447035273923
10324,0.23798075,0.44134086,1.0,1.0917475,0.8855872,0.029785156,0.20088565,6.7444887,1.2504739,17.25442,62.448624,0.13399455,0.5285755,7.735237,121.2459,83.72253,1.0394354,12.155222,0.00028040895,0.4148541,6.602249445456366,-0.1899781945602765
