alpha,feature,positive_probability,degenerate_rate,gain,crowding,crowd_max,dec_norm,enc_norm,enc_dec_cos,frequency,act_mag,act_mean_firing,act_std,act_max,act_kurtosis,bin_entropy,act_entropy,coact_entropy,coact_count,logit_l2,logit_linf,logit_entropy,logit_top10_mass,discovery_selectivity,predicted_collateral,predicted_residual_collateral
1.0,12885,0.8320075869560242,0.0,0.06846826817491092,0.2664419,0.6233393,1.0000001,1.029815,0.8029491,0.03173828,0.1860694,5.8626175,1.1540982,14.937351,68.43377,0.14073363,0.53351897,7.811219,93.707695,82.77805,0.82592916,12.162441,0.00023707462,0.6403403,7.348148995367279,0.871823455809613
1.0,13435,0.8312188442456924,0.08333333333333333,0.06767952546457912,0.16965018,0.29693037,0.99999994,1.0264262,0.7726294,0.0029296875,0.015961403,5.4481587,0.31765196,9.512973,559.3847,0.020013848,0.22490287,6.1196504,92.833336,56.235542,0.7417174,12.159872,0.00027035235,1.3529768,3.9258258486854394,-0.1156021612262032
1.0,13517,0.9058260492262585,0.0,0.14228673044514528,0.23162222,0.8321787,1.0,0.9002679,0.8912239,0.030273438,0.13118759,4.333422,0.7746535,9.345787,44.050503,0.13569139,0.53635377,7.8557644,94.32258,71.60271,1.1322263,12.157402,0.00032466088,0.5505127,5.154130154592394,-0.6613468346831206
1.0,14605,0.7649047907519465,0.0,0.0013654719708332541,0.25386065,0.37306672,0.99999994,1.2766262,0.7829746,0.0034179688,0.024295397,7.108139,0.5039437,16.311798,755.3748,0.02282177,0.2277486,6.4556684,112.57143,100.12429,1.3050951,12.153452,0.00029787095,0.41530892,4.958663575281647,-0.938369185814844
1.0,14912,0.6804841464860752,0.0,-0.083055172295038,0.29761156,0.5187136,0.99999994,1.3356895,0.8087696,0.010253906,0.07481119,7.295872,0.8632792,24.130135,356.2913,0.057165034,0.3806804,7.131342,99.52381,82.764565,1.158986,12.159248,0.00029949742,0.4151209,5.283291453959238,-0.5370447035273923
1.0,15140,0.7500021784411123,0.0,-0.013537140340000975,0.1882169,0.6188408,1.0,0.83197427,0.9289093,0.014160156,0.057155363,4.036351,0.48497227,6.3938007,76.991936,0.074343786,0.43959898,7.4456005,97.034485,56.485867,0.6210264,12.167914,0.00023719043,0.49095705,3.567023745247968,-0.4541582115251472
1.0,15484,0.8318388487386983,0.0,0.06829952995758504,0.1367785,0.17738599,1.0,0.9575681,0.852345,0.0048828125,0.018768422,3.843773,0.2701883,4.935149,214.22775,0.030857366,0.30095288,6.5483265,91.5,53.970387,0.62301266,12.158714,0.0002641874,0.6437935,3.253453653941995,-0.5666523681501356
1.0,15767,0.6703423624082158,0.0,-0.09319695637289749,0.18581714,0.24282789,1.0,0.8781928,0.82678974,0.014160156,0.059303515,4.188055,0.51201624,7.5273495,91.32492,0.074343786,0.43756017,7.2484236,81.793106,66.63032,0.80275863,12.164588,0.00025317655,0.67474544,5.3003812020394445,0.6306722198535957
1.0,16104,0.7505061311045816,0.0,-0.01303318767653161,0.16530569,0.9666684,1.0,0.8504521,0.91585124,0.020996094,0.08472867,4.0354495,0.5893828,6.842189,51.561337,0.101890825,0.49109358,7.6324563,95.88372,57.855946,0.60118496,12.169796,0.000219587,0.44038942,3.949933320768971,-0.3327269374929764
1.0,16157,0.5978985205244195,0.0,-0.16564079825669376,0.18030123,0.27580446,0.99999994,1.0361446,0.75897896,0.0029296875,0.012848736,4.3857017,0.25765598,8.324039,639.53094,0.020013848,0.2247141,6.07085,87.166664,66.39319,0.8467313,12.1601715,0.00028435458,1.317504,4.3707367823696535,0.1190191796627901
