feature,crowding,crowd_max,dec_norm,enc_norm,enc_dec_cos,frequency,act_mag,act_mean_firing,act_std,act_max,act_kurtosis,bin_entropy,act_entropy,coact_entropy,coact_count,logit_l2,logit_linf,logit_entropy,logit_top10_mass,collateral_raw,effect_l2,collateral_ctilde,collateral_raw_nodense,collateral_ctilde_nodense,resid_delta_norm,resid_reconstruction_norm_ratio,resid_error_delta_norm,resid_change_explained_energy,stab_signed,stab_abs,stab_anti_frac,effect_pc1_ratio,kl_mean,kl_per_effect,effect_cv,ctx_mean_act,intervention_value,n_ctx,matched_feature
33,0.15954971313476562,0.18275730311870575,0.9999999403953552,,,,,,,,,,,,,81.0719223022461,1.7090802192687988,10.535154342651367,0.0010819563176482916,19.14583396911621,30.092601776123047,0.6362305959847298,14.854166984558105,0.49361524437571164,1.4761199951171875,0.6090052127838135,1.1945383548736572,0.35015368461608887,0.825495719909668,0.825495719909668,0.0,0.4565126299858093,0.0065529840067029,0.00021776063277203082,0.42946022748947144,,1.0,48,2877
34,0.1572813242673874,0.1799709051847458,0.9999999403953552,,,,,,,,,,,,,80.73206329345703,1.5617265701293945,10.537957191467285,0.0010356820421293378,20.666667938232422,36.31926727294922,0.5690276672496305,15.125,0.41644562601351603,1.6295440196990967,0.6359981894493103,1.3002127408981323,0.3716089725494385,0.8383566737174988,0.8383566737174988,0.0,0.23283451795578003,0.008111024275422096,0.000223325658313321,0.29568079113960266,,1.0,48,2961
35,0.1675841063261032,0.18110980093479156,1.0,,,,,,,,,,,,,83.28401184082031,1.6379601955413818,10.533018112182617,0.0010448067914694548,21.52083396911621,32.08769226074219,0.6706881189065466,18.041667938232422,0.5622613114712197,1.3847230672836304,0.6077826023101807,1.300065040588379,0.10966336727142334,0.8109280467033386,0.8109280467033386,0.0,0.2380293607711792,0.006210663355886936,0.0001935528209222409,0.2899385690689087,,1.0,48,3327
36,0.16710060834884644,0.19239181280136108,0.9999999403953552,,,,,,,,,,,,,86.71856689453125,2.096754312515259,10.518993377685547,0.001124418107792735,21.52083396911621,32.96228790283203,0.6528926033905029,17.604167938232422,0.5340699645845645,1.4111201763153076,0.6639383435249329,1.3075892925262451,0.1499384045600891,0.8476197123527527,0.8476197123527527,0.0,0.3527810871601105,0.006360948085784912,0.00019297653435363117,0.33575907349586487,,1.0,48,3641
37,0.16268758475780487,0.1861569732427597,1.0,,,,,,,,,,,,,119.20196533203125,5.190996170043945,10.405801773071289,0.002949995221570134,18.104167938232422,35.5267333984375,0.5095928108586739,13.354166984558105,0.37589065200648386,1.4615672826766968,0.6311237215995789,1.213310718536377,0.3167969584465027,0.7988499402999878,0.7988499402999878,0.0,0.31998249888420105,0.008035508915781975,0.00022618203659201507,0.49664178490638733,,1.0,48,3766
38,0.1553713083267212,0.1634490191936493,1.0,,,,,,,,,,,,,89.37052154541016,2.4276010990142822,10.509061813354492,0.0015195368323475122,24.791667938232422,35.61669921875,0.6960686552958407,17.854167938232422,0.5012864281320162,1.900152564048767,0.658685028553009,1.3345410823822021,0.5185198783874512,0.8037826418876648,0.8037826418876648,0.0,0.3854004144668579,0.006149869412183762,0.00017266814571125535,0.42353299260139465,,1.0,48,3782
39,0.16655661165714264,0.18744155764579773,1.0,,,,,,,,,,,,,85.78257751464844,1.7807321548461914,10.536157608032227,0.0010675920639187098,21.3125,39.066444396972656,0.5455449126103757,17.95833396911621,0.45968693188548715,1.4567022323608398,0.5429903268814087,1.309162974357605,0.19779950380325317,0.8524173498153687,0.8524173498153687,0.0,0.33351483941078186,0.008570320904254913,0.0002193780630500703,0.4004301130771637,,1.0,48,3948
40,0.1592286080121994,0.17192499339580536,1.0,,,,,,,,,,,,,80.67045593261719,1.9089373350143433,10.532489776611328,0.0011018628720194101,21.08333396911621,33.62937545776367,0.6269320698306217,15.458333969116211,0.45966758984073924,1.5003080368041992,0.5829077959060669,1.2778019905090332,0.2781917452812195,0.8482416868209839,0.8482416868209839,0.0,0.34392020106315613,0.006173531524837017,0.00018357556270275728,0.3072565793991089,,1.0,48,3960
41,0.1584748774766922,0.22432848811149597,0.9999999403953552,,,,,,,,,,,,,82.64553833007812,1.847914695739746,10.524481773376465,0.0010730854701250792,31.354167938232422,33.98215866088867,0.9226655740705619,22.95833396911621,0.6755996342511288,1.9133663177490234,0.8548979759216309,1.4651744365692139,0.40504926443099976,0.8077467679977417,0.8077467679977417,0.0,0.3464367687702179,0.007131833583116531,0.00020986993946403186,0.35090121626853943,,1.0,48,4041
42,0.16216503083705902,0.19375844299793243,1.0,,,,,,,,,,,,,92.99054718017578,2.2413203716278076,10.500714302062988,0.0014259549789130688,18.041667938232422,39.59007263183594,0.45571191802177413,14.229166984558105,0.35941250002966013,1.510979413986206,0.5540143251419067,1.362156629562378,0.18308842182159424,0.8358787894248962,0.8358787894248962,0.0,0.3585030436515808,0.008923960849642754,0.0002254090546985396,0.4027201533317566,,1.0,48,4122
