feature,crowding,crowd_max,dec_norm,enc_norm,enc_dec_cos,frequency,act_mag,act_mean_firing,act_std,act_max,act_kurtosis,bin_entropy,act_entropy,coact_entropy,coact_count,logit_l2,logit_linf,logit_entropy,logit_top10_mass,discovery_selectivity,predicted_collateral,predicted_residual_collateral
16362,0.29992017,0.39942262,1.0000458,1.2309372,0.4771462,0.0034179688,0.0029700832,0.86896145,0.08288441,3.3482385,1353.9996,0.02282177,0.16284241,6.349858,91.71429,39.63963,0.9576409,10.528781,0.0012150523,0.5367187,9.19156637523453,-1.9726998655126253
8915,0.295346,0.368566,1.0000473,0.9357018,0.58884573,0.0043945312,0.0028058346,0.6384833,0.05464304,1.6341302,586.9033,0.028235715,0.24260493,6.4404426,81.888885,40.8861,0.9444276,10.529749,0.0011204691,0.4530036,8.858718428180353,-2.13468102396386
17016,0.44870415,0.50602907,1.0000242,1.1492496,0.428416,0.00390625,0.0031549714,0.8076727,0.075938255,2.974368,1194.8789,0.02555946,0.20296754,6.1890955,67.75,34.73257,0.7938366,10.524387,0.0011348804,0.428566,14.105280261572254,2.6150823535043717
19369,0.3565383,0.4033757,1.0000309,0.9260682,0.58822536,0.0146484375,0.013303563,0.9081899,0.1391668,2.6359231,190.36055,0.07640715,0.40666923,7.460911,87.566666,37.35499,1.014407,10.529639,0.0012752744,0.4198832,10.596788698202461,-1.288346313097348
5222,0.3829442,0.46018258,1.000033,1.5331336,0.48220193,0.0063476562,0.010870793,1.712568,0.15871772,3.2480829,271.8366,0.03844451,0.30779138,6.841205,87.23077,66.18334,1.6511645,10.565223,0.001105842,0.41923234,11.46877115346243,-1.9752634955746455
13899,0.4782283,0.6197345,1.0000403,1.5683095,0.41033095,0.0048828125,0.015305401,3.134546,0.3046922,10.263114,734.71826,0.030857366,0.24139896,6.3639336,76.4,34.142086,1.0584453,10.520575,0.0014296013,0.40990973,13.359105299142819,1.936769722594965
24162,0.42061988,0.5069039,1.0000371,1.9454575,0.37362713,0.0043945312,0.007953485,1.8098596,0.14044628,3.9669142,472.49066,0.028235715,0.26229987,6.36189,80.333336,44.408028,1.1505526,10.498726,0.0013841119,0.40190864,11.158731181189456,-0.7296238814251831
7290,0.3176023,0.4491131,1.0000479,1.0622927,0.5204026,0.005859375,0.0068137627,1.1628822,0.11956943,3.7320569,585.69763,0.03595768,0.27455866,6.5507984,74.833336,37.72086,0.9173238,10.525217,0.0012300169,0.39103165,10.16111185370896,-0.9384020702057405
10467,0.29508325,0.44435892,1.0000312,1.5563897,0.5118913,0.0024414062,0.0021098242,0.864184,0.057169817,1.8251355,893.68243,0.017123925,0.14842619,5.74551,66.0,35.720387,0.82869977,10.531193,0.0011075282,0.3842412,8.781632869943198,-1.5630468211570046
2761,0.31474796,0.37731,1.0000432,1.0976474,0.48705477,0.0073242188,0.0037983833,0.51860595,0.06033375,1.8649863,556.56537,0.043307357,0.30468127,6.611042,64.53333,44.491066,1.1157122,10.519659,0.0012000216,0.3545644,10.810785600956804,-0.9571388983807962
8156,0.43491554,0.5340256,1.000052,1.1886901,0.4635886,0.0048828125,0.004557007,0.93327504,0.09472262,3.1971262,744.8734,0.030857366,0.22884959,6.570891,82.7,37.82889,1.0375451,10.509584,0.0013940384,0.34364444,11.847259131612297,0.13671742739676235
