setting,target,control,predictor,rho,p,ci_lo,ci_hi,n,k_controls,controls,n_boot,n_boot_valid,p_holm,q_bh
gemma_2_2b,collateral_ctilde,none,enc_dec_cos,-0.14447028794434338,0.012244877495233694,-0.25834855919266325,-0.028340443055965593,300,0,,10000,10000,0.12244877495233694,0.022145969716294567
gemma_2_2b,collateral_ctilde,none,frequency,0.4709080264214696,5.7939880634624314e-18,0.36122191286719524,0.5689147428118033,300,0,,10000,10000,1.100857732057862e-16,5.50428866028931e-17
gemma_2_2b,collateral_ctilde,none,bin_entropy,0.4709080264214696,5.7939880634624314e-18,0.36122191286719524,0.5689147428118033,300,0,,10000,10000,1.100857732057862e-16,5.50428866028931e-17
gemma_2_2b,collateral_ctilde,none,act_entropy,0.46854876165290726,8.894611531988855e-18,0.35951428745587966,0.5677833330916396,300,0,,10000,10000,1.5120839604381053e-16,5.633253970259608e-17
gemma_2_2b,collateral_ctilde,none,act_kurtosis,-0.39998266647407194,5.940351644587806e-13,-0.502112512672579,-0.2882118050610329,300,0,,10000,10000,8.91052746688171e-12,2.2573336249433665e-12
gemma_2_2b,collateral_ctilde,none,act_mag,0.42913854598384427,7.158618843481094e-15,0.31977572212514627,0.526268415789982,300,0,,10000,10000,1.145379014956975e-13,3.40034395065352e-14
gemma_2_2b,collateral_ctilde,none,act_mean_firing,0.11979866442960477,0.0380992402345038,-0.0014396038507158715,0.23278044860494285,300,0,,10000,10000,0.2666946816415266,0.05395080069496324
gemma_2_2b,collateral_ctilde,none,act_std,0.3386593184368715,1.7432806731332066e-09,0.22232056131265376,0.44254005582556133,300,0,,10000,10000,2.4405929423864893e-08,5.520388798255155e-09
gemma_2_2b,collateral_ctilde,none,act_max,0.1366299625551395,0.017897352821976957,0.02022164572780988,0.24736356114661723,300,0,,10000,10000,0.14317882257581566,0.028337475301463518
gemma_2_2b,collateral_ctilde,none,coact_entropy,0.2984811273993205,1.3727976321082778e-07,0.18577375082342015,0.4071710064188287,300,0,,10000,10000,1.784636921740761e-06,3.7261650014367544e-07
gemma_2_2b,collateral_ctilde,none,coact_count,-0.08012985935055887,0.1662596382821984,-0.19246813913827326,0.03687594475963567,300,0,,10000,10000,0.4987789148465952,0.1858195957271629
gemma_2_2b,collateral_ctilde,none,logit_l2,-0.10777630862565139,0.06226816348259841,-0.22487630777535822,0.014460239356960367,300,0,,10000,10000,0.2666946816415266,0.07394344413558561
gemma_2_2b,collateral_ctilde,none,logit_linf,-0.2207308970099668,0.0001157941631003908,-0.3276405049318709,-0.10965666681970558,300,0,,10000,10000,0.0013895299572046897,0.00027501113736342817
gemma_2_2b,collateral_ctilde,none,logit_entropy,0.14353919828194386,0.012821350888381065,0.026052488930209703,0.25631205152862957,300,0,,10000,10000,0.12244877495233694,0.022145969716294567
gemma_2_2b,collateral_ctilde,none,logit_top10_mass,-0.18743274925276948,0.0011069440406085702,-0.294650210055526,-0.07499279158223993,300,0,,10000,10000,0.012176384446694272,0.002336881863506982
gemma_2_2b,collateral_ctilde,primary,crowding,0.24934380579295787,1.3747275178721493e-05,0.12680817132381797,0.3623638385022276,300,3,"effect_l2,ctx_mean_act,frequency",10000,10000,0.0002199564028595439,8.248365107232896e-05
gemma_2_2b,collateral_ctilde,primary,crowd_max,0.16574809746092253,0.004180071277923327,0.04555521860648146,0.28223093371367486,300,3,"effect_l2,ctx_mean_act,frequency",10000,10000,0.05852099789092658,0.015048256600523979
gemma_2_2b,collateral_ctilde,primary,dec_norm,0.08679788205378992,0.1356054415928899,-0.035005520395173746,0.21097820982678747,300,3,"effect_l2,ctx_mean_act,frequency",10000,10000,1.0,0.21929619083254145
gemma_2_2b,collateral_ctilde,primary,enc_norm,0.09284139541290687,0.11033194458142453,-0.024098256392916528,0.20302985974407947,300,3,"effect_l2,ctx_mean_act,frequency",10000,10000,1.0,0.1986093230525916
gemma_2_2b,collateral_ctilde,primary,enc_dec_cos,-0.4249678090403997,1.8738873956385914e-14,-0.517639719195349,-0.3163061371671801,300,3,"effect_l2,ctx_mean_act,frequency",10000,10000,3.3729973121494644e-13,3.3729973121494644e-13
gemma_2_2b,collateral_ctilde,primary,bin_entropy,,,,,300,3,"effect_l2,ctx_mean_act,frequency",10000,0,,
gemma_2_2b,collateral_ctilde,primary,act_entropy,0.048006465144631735,0.4097605750301103,-0.06573654398387287,0.1647480982017412,300,3,"effect_l2,ctx_mean_act,frequency",10000,10000,1.0,0.5268350250387133
gemma_2_2b,collateral_ctilde,primary,act_kurtosis,-0.08071301669949686,0.16532538129786883,-0.19211479572356002,0.02323333742400401,300,3,"effect_l2,ctx_mean_act,frequency",10000,10000,1.0,0.22891206641243375
gemma_2_2b,collateral_ctilde,primary,act_mag,-0.00026483749277474644,0.9963737227593537,-0.11043518447171735,0.11955052543139887,300,3,"effect_l2,ctx_mean_act,frequency",10000,10000,1.0,1.0
gemma_2_2b,collateral_ctilde,primary,act_mean_firing,0.09283969034404932,0.11033851280699533,-0.030287404431544623,0.20587980065194847,300,3,"effect_l2,ctx_mean_act,frequency",10000,10000,1.0,0.1986093230525916
gemma_2_2b,collateral_ctilde,primary,act_std,-0.030405314000330926,0.6017352724472483,-0.1496517134319277,0.1017310535485255,300,3,"effect_l2,ctx_mean_act,frequency",10000,10000,1.0,0.722082326936698
gemma_2_2b,collateral_ctilde,primary,act_max,-0.08452258325275389,0.14619746055502764,-0.20014542528191756,0.032814993538372354,300,3,"effect_l2,ctx_mean_act,frequency",10000,10000,1.0,0.21929619083254145
