setting,target,control,predictor_set,cv_spearman_mean,cv_spearman_sd,oof_spearman,n_pred,n_defined_folds,controls
gemma_2_2b,collateral_raw_nodense,effect_only,direct_logit_only,0.09688246735204226,0.08780124295643559,0.08970277447527195,4,5,effect_l2
gemma_2_2b,collateral_raw_nodense,effect_only,coactivation_only,0.3509196999166436,0.11856983660780647,0.3285236502627807,2,5,effect_l2
gemma_2_2b,collateral_raw_nodense,effect_only,full_no_magnitude,0.5908863573214782,0.08653361697498077,0.58909454549495,15,5,effect_l2
gemma_2_2b,collateral_raw_nodense,effect_only,full_all,0.5913642678521812,0.06767592828260588,0.5855940621562462,19,5,effect_l2
gemma_2_2b,collateral_ctilde_nodense,none,frequency_only,0.4884870310720757,0.05789568490903975,0.4460464980364218,1,5,
gemma_2_2b,collateral_ctilde_nodense,none,actmag_only,0.4676521255904419,0.034542824887209396,0.42204868942988255,1,5,
gemma_2_2b,collateral_ctilde_nodense,none,geometry_only,0.29548207835509865,0.15087707255408309,0.29064900721119125,5,5,
gemma_2_2b,collateral_ctilde_nodense,none,direct_logit_only,0.14531814392886916,0.08405827759198409,0.12016133512594583,4,5,
gemma_2_2b,collateral_ctilde_nodense,none,coactivation_only,0.3760600166712976,0.07084801882696766,0.37243213813486814,2,5,
gemma_2_2b,collateral_ctilde_nodense,none,full_no_magnitude,0.5725368157821619,0.02748295192071403,0.5704752275025278,15,5,
gemma_2_2b,collateral_ctilde_nodense,none,full_all,0.5577993887190887,0.032915043322786136,0.5561532905921176,19,5,
gemma_2_2b,collateral_ctilde_nodense,primary,frequency_only,,,,1,0,"effect_l2,act_max,frequency"
gemma_2_2b,collateral_ctilde_nodense,primary,actmag_only,0.2459460961378161,0.09222482798805388,0.20310892343248255,1,5,"effect_l2,act_max,frequency"
gemma_2_2b,collateral_ctilde_nodense,primary,geometry_only,0.39388719088635743,0.15511548410834142,0.40660096223291364,5,5,"effect_l2,act_max,frequency"
gemma_2_2b,collateral_ctilde_nodense,primary,direct_logit_only,0.09012503473186997,0.13006148374191195,0.0564037378193091,4,5,"effect_l2,act_max,frequency"
gemma_2_2b,collateral_ctilde_nodense,primary,coactivation_only,0.15365379272020008,0.08259222482820329,0.14987855420615784,2,5,"effect_l2,act_max,frequency"
gemma_2_2b,collateral_ctilde_nodense,primary,full_no_magnitude,0.5404167824395667,0.08065238744807304,0.5495954399493328,15,5,"effect_l2,act_max,frequency"
gemma_2_2b,collateral_ctilde_nodense,primary,full_all,0.5434065018060574,0.08310179557993551,0.5498385537617084,19,5,"effect_l2,act_max,frequency"
